"Recognition Log: Katherine Chan, Thomas Ruby, Jonathan Zhang // $1 Recognizer // XML Dataset // USER-DEPENDENT RANDOM-1"
User[all-users],GestureType[all-gesture-types],Random Iteration[1to1],#ofTrainingExamples[E],TotalSizeOfTrainingSet[count],TrainingSetContents[specific-gesture-instances],Candidate[specific-instance],RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
2,triangle,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",triangle02,triangle,1,0.9544548295621826,triangle01,"[('triangle01', 0.9544548295621826), ('circle06', 0.8112084335242266), ('rectangle04', 0.7877300068585175), ('v03', 0.7176078925270843), ('left_sq_bracket05', 0.6875307082891958), ('x07', 0.6623035968318851), ('left_curly_brace01', 0.5342905611726165), ('pigtail09', 0.4804352357159991), ('check02', 0.436630303847931), ('arrow07', 0.42666315596984183), ('delete_mark01', 0.41897003823458623), ('star05', 0.407434494320306), ('question_mark06', 0.3650284503358242), ('right_sq_bracket02', 0.34508926074939017), ('right_curly_brace09', 0.3365369802686171), ('caret02', 0.2887179565050706)]"
2,x,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",x06,x,1,0.9183421566278787,x07,"[('x07', 0.9183421566278787), ('pigtail09', 0.7027777506471227), ('triangle01', 0.6519380389476583), ('arrow07', 0.6170586881048793), ('rectangle04', 0.6121410910901198), ('circle06', 0.5622509690634637), ('v03', 0.5618159893469927), ('caret02', 0.5197664146555177), ('left_sq_bracket05', 0.503846573594042), ('star05', 0.501356066952982), ('right_curly_brace09', 0.4795309812427925), ('delete_mark01', 0.4308102086417803), ('question_mark06', 0.4208837344046584), ('left_curly_brace01', 0.4166721696204885), ('right_sq_bracket02', 0.40575605399067816), ('check02', 0.3741196704086551)]"
2,rectangle,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",rectangle01,rectangle,1,0.9535048274506744,rectangle04,"[('rectangle04', 0.9535048274506744), ('circle06', 0.8298289432672581), ('triangle01', 0.790292353548625), ('left_sq_bracket05', 0.7218010084322184), ('v03', 0.7214804017403319), ('x07', 0.6352004243722975), ('left_curly_brace01', 0.5886865167266445), ('pigtail09', 0.46848524590871066), ('check02', 0.46536612708001446), ('arrow07', 0.4163744435776294), ('delete_mark01', 0.3975962908232241), ('right_sq_bracket02', 0.3746226998853118), ('right_curly_brace09', 0.3687066731805806), ('question_mark06', 0.36809754171556974), ('star05', 0.3502267158414173), ('caret02', 0.3036875181427614)]"
2,circle,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",circle04,circle,1,0.9165601085126073,circle06,"[('circle06', 0.9165601085126073), ('rectangle04', 0.8636472281556486), ('triangle01', 0.7875810752259175), ('left_sq_bracket05', 0.7497871190104708), ('v03', 0.6725575459423396), ('x07', 0.5861576194833833), ('left_curly_brace01', 0.5569863702929186), ('check02', 0.40230222378426184), ('pigtail09', 0.40100333826961165), ('question_mark06', 0.3624846689135489), ('delete_mark01', 0.3397209354013172), ('arrow07', 0.3202769920892523), ('right_sq_bracket02', 0.31962838807214644), ('right_curly_brace09', 0.31313925510655016), ('star05', 0.29278059964729464), ('caret02', 0.23223515256969285)]"
2,check,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",check08,left_curly_brace,0,0.7849901933106915,left_curly_brace01,"[('left_curly_brace01', 0.7849901933106915), ('check02', 0.75284518666136), ('left_sq_bracket05', 0.7393603321829658), ('right_curly_brace09', 0.661179234722273), ('question_mark06', 0.6548235199971748), ('v03', 0.6331579728413426), ('arrow07', 0.600913642560701), ('right_sq_bracket02', 0.5995674593503635), ('rectangle04', 0.5831058464978933), ('triangle01', 0.5471248798716829), ('circle06', 0.5179241561393149), ('caret02', 0.5150762723629786), ('x07', 0.4440534002565385), ('star05', 0.43123797000235775), ('pigtail09', 0.4102543600515687), ('delete_mark01', 0.4087425684739793)]"
2,caret,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",caret08,caret,1,0.8541218115317682,caret02,"[('caret02', 0.8541218115317682), ('right_sq_bracket02', 0.8342887387568724), ('right_curly_brace09', 0.8258286477985343), ('check02', 0.7702242042126504), ('question_mark06', 0.7463794022559278), ('arrow07', 0.7111203367466896), ('pigtail09', 0.6217660839865768), ('left_curly_brace01', 0.5682425206217399), ('delete_mark01', 0.5021063890420563), ('left_sq_bracket05', 0.4193818560100583), ('x07', 0.38731756538562034), ('star05', 0.36333454839163837), ('v03', 0.36120576066912147), ('rectangle04', 0.2975853058278368), ('triangle01', 0.2825700796000079), ('circle06', 0.23191116948297952)]"
2,question_mark,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",question_mark10,question_mark,1,0.8744936949638218,question_mark06,"[('question_mark06', 0.8744936949638218), ('right_sq_bracket02', 0.735588440044898), ('right_curly_brace09', 0.7287944183364679), ('caret02', 0.6831560339388234), ('check02', 0.6739227109402136), ('left_curly_brace01', 0.6363779464960566), ('pigtail09', 0.6012316026031119), ('arrow07', 0.572210931650668), ('left_sq_bracket05', 0.5439427414681576), ('x07', 0.4623902076532559), ('v03', 0.4431423023525666), ('rectangle04', 0.40924482170398835), ('delete_mark01', 0.4016292562247161), ('star05', 0.38516528779730363), ('triangle01', 0.3469326183581749), ('circle06', 0.33410690309502966)]"
2,arrow,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",arrow08,arrow,1,0.8560664747336632,arrow07,"[('arrow07', 0.8560664747336632), ('pigtail09', 0.728007624412354), ('right_curly_brace09', 0.6711256468819932), ('x07', 0.6608639295015615), ('caret02', 0.6585241623769635), ('right_sq_bracket02', 0.6059572593437155), ('check02', 0.5941470373878454), ('star05', 0.5744806459291744), ('question_mark06', 0.5169690109853735), ('left_curly_brace01', 0.4902355896579975), ('delete_mark01', 0.4667366638260423), ('v03', 0.4495491331585917), ('triangle01', 0.42075898318691407), ('rectangle04', 0.4039812929160056), ('left_sq_bracket05', 0.3602354176881841), ('circle06', 0.31437211590910075)]"
2,left_sq_bracket,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",left_sq_bracket09,left_sq_bracket,1,0.8686297948169284,left_sq_bracket05,"[('left_sq_bracket05', 0.8686297948169284), ('rectangle04', 0.7915458761271247), ('circle06', 0.7758473289821307), ('triangle01', 0.731736578387941), ('left_curly_brace01', 0.6965714875742828), ('v03', 0.6919866721813163), ('x07', 0.6022854483298887), ('check02', 0.5319564643224566), ('question_mark06', 0.4763626569183028), ('right_sq_bracket02', 0.44882463890178625), ('right_curly_brace09', 0.4376315034703553), ('arrow07', 0.4248346797122482), ('delete_mark01', 0.35850692500345893), ('pigtail09', 0.33425965959599035), ('star05', 0.3107560543421888), ('caret02', 0.2998241273359957)]"
2,right_sq_bracket,1,1,16,"{'triangle01', 'x07', 'rectangle04', 'circle06', 'check02', 'caret02', 'question_mark06', 'arrow07', 'left_sq_bracket05', 'right_sq_bracket02', 'v03', 'delete_mark01', 'left_curly_brace01', 'right_curly_brace09', 'star05', 'pigtail09'}",right_sq_bracket07,right_sq_bracket,1,0.9129284160911919,right_sq_bracket02,"[('right_sq_bracket02', 0.9129284160911919), ('caret02', 0.7872495302918212), ('question_mark06', 0.7682516345669359), ('right_curly_brace09', 0.758117332616026), ('check02', 0.7365821244381476), ('arrow07', 0.6631682046567761), ('pigtail09', 0.5491127362303874), ('delete_mark01', 0.5447691548434146), ('left_curly_brace01', 0.5344517190156404), ('left_sq_bracket05', 0.4530106032397425), ('x07', 0.3823300494811803), ('v03', 0.3716452127316807), ('star05', 0.34936046759048456), ('rectangle04', 0.34765977861242336), ('triangle01', 0.318951510892562), ('circle06', 0.28391160779443725)]"
