"Recognition Log: Katherine Chan, Thomas Ruby, Jonathan Zhang // $1 Recognizer // XML Dataset // USER-DEPENDENT RANDOM-1",,,,,,,,,,,
User,Gesture Type,Random Iteration[1 to 1],#ofTrainingExamples[E],TotalSizeOfTrainingSet,TrainingSetContents,Candidate,RecoResultGestureType[what-was-recognized],CorrectIncorrect[1or0],RecoResultScore,RecoResultBestMatch[specific-instance],RecoResultNBestSorted[instance-and-score]
2,triangle,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",triangle07,triangle,1,0.893722842,triangle09,"[('triangle09', 0.8937228419882914), ('rectangle07', 0.8447340166909275), ('circle06', 0.8018495011336435), ('v09', 0.7158742074405291), ('left_sq_bracket05', 0.6635187582969377), ('x09', 0.6434521296557578), ('left_curly_brace04', 0.5718816924823179), ('arrow10', 0.5324795869208752), ('check05', 0.48997979455252405), ('pigtail01', 0.4597259523032067), ('caret05', 0.37482081181163307), ('delete_mark06', 0.3436721135128975), ('question_mark08', 0.3399272928284187), ('right_sq_bracket01', 0.32958567377392234), ('star09', 0.3263573437152433), ('right_curly_brace08', 0.29764623131901957)]"
2,x,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",x05,x,1,0.928532659,x09,"[('x09', 0.9285326585471055), ('pigtail01', 0.6553109313317529), ('triangle09', 0.6551461628362364), ('arrow10', 0.6506729494411687), ('rectangle07', 0.5988091482258413), ('circle06', 0.5543022246319693), ('caret05', 0.5479459184276851), ('v09', 0.5411328693826027), ('left_curly_brace04', 0.5158392077624586), ('left_sq_bracket05', 0.5128269573091438), ('star09', 0.4860609260033901), ('question_mark08', 0.4679773191250851), ('right_curly_brace08', 0.45536781254150016), ('check05', 0.4177323910956692), ('right_sq_bracket01', 0.3959573826701611), ('delete_mark06', 0.3858822474994974)]"
2,rectangle,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",rectangle01,rectangle,1,0.888235968,rectangle07,"[('rectangle07', 0.8882359683653067), ('circle06', 0.8298289432672581), ('triangle09', 0.818741980464873), ('v09', 0.7309280600527964), ('left_sq_bracket05', 0.7218010084322184), ('left_curly_brace04', 0.6494602471075982), ('x09', 0.6244842272631068), ('check05', 0.5498636494448705), ('arrow10', 0.5030870936766525), ('right_sq_bracket01', 0.424333500683833), ('pigtail01', 0.4111020006571896), ('right_curly_brace08', 0.38471236077726845), ('question_mark08', 0.38231124314174214), ('star09', 0.34673068024315346), ('delete_mark06', 0.32656314010315435), ('caret05', 0.3157582347673291)]"
2,circle,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",circle04,circle,1,0.916560109,circle06,"[('circle06', 0.9165601085126073), ('rectangle07', 0.8674793951799975), ('triangle09', 0.8188067064762005), ('left_sq_bracket05', 0.7497871190104708), ('v09', 0.7100501854576262), ('left_curly_brace04', 0.5994235559340033), ('x09', 0.5716129170072788), ('check05', 0.5132568033115374), ('arrow10', 0.405702948817797), ('right_sq_bracket01', 0.3835262308244569), ('question_mark08', 0.373058560765433), ('pigtail01', 0.3622616525410677), ('right_curly_brace08', 0.3387978095656402), ('caret05', 0.27198331397416453), ('star09', 0.26481370380484737), ('delete_mark06', 0.23662162393713237)]"
2,check,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",check07,check,1,0.858765134,check05,"[('check05', 0.8587651339656157), ('left_curly_brace04', 0.7290709215269262), ('v09', 0.697591571415545), ('left_sq_bracket05', 0.6958095094512842), ('right_curly_brace08', 0.6155349389102418), ('question_mark08', 0.6143862548591768), ('right_sq_bracket01', 0.5955603775299497), ('rectangle07', 0.5840868075882029), ('triangle09', 0.5820617804981905), ('circle06', 0.5368088418538606), ('caret05', 0.5142051846210032), ('arrow10', 0.4933462252772405), ('x09', 0.4733689484540782), ('pigtail01', 0.4208782804434661), ('star09', 0.4207053704263636), ('delete_mark06', 0.37994268931397146)]"
2,caret,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",caret09,caret,1,0.947473243,caret05,"[('caret05', 0.9474732430895763), ('right_curly_brace08', 0.7506432971648516), ('right_sq_bracket01', 0.6959970793264258), ('question_mark08', 0.6892243430672725), ('pigtail01', 0.6418730083855553), ('delete_mark06', 0.6079318249240486), ('check05', 0.5985302847234344), ('arrow10', 0.5914108960383142), ('x09', 0.5184100982799813), ('left_curly_brace04', 0.4682182120552141), ('v09', 0.38416614034297936), ('star09', 0.3602780011282456), ('left_sq_bracket05', 0.3343817248835246), ('triangle09', 0.30869466822003877), ('rectangle07', 0.2753808102791032), ('circle06', 0.2028812377681264)]"
2,question_mark,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",question_mark02,question_mark,1,0.77648674,question_mark08,"[('question_mark08', 0.7764867400609186), ('right_sq_bracket01', 0.7266876231914695), ('right_curly_brace08', 0.7107087008103296), ('check05', 0.7053323115684268), ('caret05', 0.6849395635106943), ('delete_mark06', 0.5267282650015299), ('left_sq_bracket05', 0.5170481064315855), ('pigtail01', 0.5124979518254753), ('left_curly_brace04', 0.5020038264219626), ('x09', 0.4446216651955267), ('arrow10', 0.4031290414419568), ('v09', 0.39453404443281404), ('triangle09', 0.38356980874331204), ('rectangle07', 0.373245518276039), ('circle06', 0.33270873647450083), ('star09', 0.3068651003142342)]"
2,arrow,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",arrow02,arrow,1,0.758933403,arrow10,"[('arrow10', 0.7589334034820199), ('pigtail01', 0.6884058142367744), ('caret05', 0.6671280610190125), ('right_curly_brace08', 0.664626274541719), ('x09', 0.6644960083319411), ('right_sq_bracket01', 0.6400143325416612), ('check05', 0.5695868201272875), ('question_mark08', 0.5537194810388858), ('star09', 0.5415802627271618), ('left_curly_brace04', 0.5072285816312626), ('delete_mark06', 0.4590092485049885), ('v09', 0.4128644262464253), ('left_sq_bracket05', 0.36734316671739753), ('triangle09', 0.3555514640972596), ('rectangle07', 0.32680092321491805), ('circle06', 0.25602180226377624)]"
2,left_sq_bracket,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",left_sq_bracket01,left_sq_bracket,1,0.887950086,left_sq_bracket05,"[('left_sq_bracket05', 0.8879500863169075), ('left_curly_brace04', 0.7850370696133709), ('check05', 0.7068573263028803), ('v09', 0.6994102716487527), ('rectangle07', 0.6884790507945213), ('triangle09', 0.6854428794497865), ('circle06', 0.6815966103896709), ('question_mark08', 0.5637474497721306), ('right_sq_bracket01', 0.5502927137513469), ('x09', 0.5261490362906425), ('right_curly_brace08', 0.5125648707679507), ('arrow10', 0.4926657941722681), ('pigtail01', 0.3633874679901503), ('caret05', 0.34961961865311453), ('star09', 0.3372502971459094), ('delete_mark06', 0.29436564192559045)]"
2,right_sq_bracket,1,1,16,"dict_keys(['triangle09', 'x09', 'rectangle07', 'circle06', 'check05', 'caret05', 'question_mark08', 'arrow10', 'left_sq_bracket05', 'right_sq_bracket01', 'v09', 'delete_mark06', 'left_curly_brace04', 'right_curly_brace08', 'star09', 'pigtail01'])",right_sq_bracket10,right_sq_bracket,1,0.855621171,right_sq_bracket01,"[('right_sq_bracket01', 0.8556211711877401), ('caret05', 0.7524812520567347), ('right_curly_brace08', 0.7391169891784284), ('question_mark08', 0.7358037775013782), ('delete_mark06', 0.6597563527724006), ('check05', 0.634091872115103), ('arrow10', 0.5759331041794649), ('left_curly_brace04', 0.4926036188553473), ('pigtail01', 0.49026881143164547), ('left_sq_bracket05', 0.4509910994194498), ('x09', 0.423634884770989), ('star09', 0.3332003930403624), ('rectangle07', 0.33220082635547965), ('v09', 0.32903408833731873), ('triangle09', 0.293586586763221), ('circle06', 0.28083237058349564)]"
